Species	Li32124_S1d_metagenome	Li32125_S2d_metagenome	Li32126_S3d_metagenome	Li32127_S4d_metagenome	Li32128_S5d_metagenome	Li32129_S6d_metagenome	Li32130_S7d_metagenome	Li32131_S8d_metagenome	Li32132_S9d_metagenome	Li32133_S10d_metagenome	Li32134_S11d_metagenome	Li32135_S12d_metagenome	Li32136_S13d_metagenome	Li32137_S14d_metagenome	Li32138_S15d_metagenome	Li32139_S16d_metagenome	Li32140_S17d_metagenome	Li32141_S18d_metagenome	Li32142_S19d_metagenome	Li32143_S20d_metagenome	Li32144_S21d_metagenome	Li32145_S22d_metagenome	Li32146_S23d_metagenome	Li32147_S24d_metagenome	Li32148_S25d_metagenome	Li32149_S26d_metagenome	Li32150_S27d_metagenome	Li32151_S28d_metagenome	Li32152_S29d_metagenome	Li32153_S30d_metagenome	Li32154_S31d_metagenome	Li32155_S32d_metagenome	Li32156_S33d_metagenome	Li32157_S34d_metagenome	Li32158_S35d_metagenome	Li32159_S36d_metagenome	Li32160_S37d_metagenome	Li32161_S38d_metagenome	Li32162_S39d_metagenome	Li32163_S40d_metagenome	Li32164_S41d_metagenome	Li32165_S42d_metagenome	Li32166_S43d_metagenome	Li32167_S44d_metagenome	Li32168_S45d_metagenome	Li32169_S46d_metagenome	Li32170_S47d_metagenome	Li32171_S48d_metagenome	Li32172_S49d_metagenome	Li32173_S50d_metagenome	Li32174_S51d_metagenome	Li32175_S52d_metagenome	Li32176_S53d_metagenome	Li32177_S54d_metagenome	Li32178_S55d_metagenome	Li32179_S56d_metagenome	Li32180_S57d_metagenome	Li32181_S58d_metagenome	Li32182_S59d_metagenome	Li32183_S60d_metagenome	Li32184_S61d_metagenome	Li32185_S62d_metagenome	Li32186_S63d_metagenome	Li32187_S64d_metagenome	Li32188_S65d_metagenome	Li32189_S66d_metagenome	Li32190_S67d_metagenome	Li32191_S68d_metagenome	Li32192_S69d_metagenome	Li32193_S70d_metagenome	Li32194_S71d_metagenome	Li32195_S72d_metagenome	Li32196_S73d_metagenome	Li32197_S74d_metagenome	Li32198_S75d_metagenome	Li32199_S76d_metagenome	Li32200_S77d_metagenome	Li32201_S78d_metagenome	Li32202_S79d_metagenome	Li32203_S80d_metagenome	Li32204_S81d_metagenome	Li32205_S82d_metagenome	Li32206_S83d_metagenome	Li32207_S84d_metagenome
s__Actinomyces_oris	0	0.0005	0	0.02006	0.00137	0	0	0	0	0	0	0	0.00327	0.00424	0	0	0	0	0.01093	0.01067	0.03822	0	0	0	0.00046	0	0	0	0	0	0	0	0.02024	0	0	0	0	0	0	0.00031	0	0.00286	0.02572	0	0	0.00387	0.00538	0.00301	0	0.00752	0.0122	0.00897	0.03604	0.00532	0	0.00318	0	0	0.00041	0	0	0	0.00792	0.00031	0	0.00405	0.00814	0.00742	0.00105	0.00232	0.0016	0.00281	0.01693	0	0.00264	0	0	0	0.00586	0.00551	0.01334	0.02628	0	0
s__Monoglobus_pectinilyticus	0	0	0.39141	0	0	0	0	0	0	0.05053	0.31695	0.31228	0	0	0	0	0	0.00021	1.04435	0.50046	0.06525	0	0	0	0	0	0	0.05288	0.00965	0.01334	0.58963	0.75563	0.35124	0	0	0.03316	0.06859	0	0	0	0	0	0	0	0.01266	0.03373	0.02324	0.23629	0.13265	0	0	0	0	0	0	0	0.02756	0.68389	0.12636	0.14989	0.46061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193	0.04115	0.06347	0.10349
s__GGB3257_SGB4304	0	0	0.10019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Clostridium_sp_AT4	0	0	0.07907	0	0.01067	0	0	0.07452	0.08592	0.28757	0.0624	0.54456	0.06167	0.0598	0.06738	0.15421	0.21133	0.15765	0.06586	0.03868	0.0036	0.00188	0	0	0.00316	0.00404	0.05052	0	0	0	2.00358	1.81887	0.00445	0.29771	0.32774	3.72864	2.39304	0	0	0	0	0	0	0	0.17942	0.5554	0.14654	0	0	0	0.00732	0.01174	0.03875	0.01558	0	0.03515	0	0	0	0.02685	0.06577	0.04579	0	0	0	0	0	0	0.14077	0.2045	0.04738	0.11838	0.11332	0.03798	0	0	0	0.00134	0.02361	0	0.00445	0	0.01719	0.00098
s__Dellaglioa_SGB96978	0	0	0.01747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Pseudoruminococcus_massiliensis	0	0	0.00722	0	0	0	0.13652	0	0.16686	0	0	0	0	0	0	0	0	0	0	0	0	0.03175	0.17772	0.61007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02423	0.10141	0.61816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lactococcus_cremoris	0	0	0.00676	0	0	0.00324	0	0	0	0	0	0	0	0	0	0	0	0	0.04792	0	0.00038	0	0	0	0	0	0	0	0	0	0.01296	0	0.004	0	0	0	0	0	0	0	0	0	0.00506	0	0.00644	0.35296	0.00878	0	0	0	0	0	0.00282	0	0	0	0.01858	0.00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00325	0	0.03314	0.01644	0	0	0	0.01457	0	0	0	0
s__Cuneatibacter_caecimuris	0	0	0.00424	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0.00187	0.00507	0.02266	0.02194	0.00199	0.00211	0	0	0.00413	0.00471	0.00159	0	0	0.00157	0	0	0	0.00108	0	0.00048	0	0	0	0	0	0	0	0	0.00031	0.00203	0.0098	0	0	0	8.00E-05	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0	0	0	0.10988	0.11071	0.03961	0	0	0.00219	0	0	0	0	0	0	0	0.00107	0.00506	0.0031
s__Blautia_caecimuris	0	0	0.00312	0.01607	0.00284	0	0	0	0	0.064	0.02009	0.13186	0.23007	0.09919	0.10193	0.16033	0.39852	0.64226	3.99856	1.70805	0.32091	0.24319	0.03233	0.01386	0.02115	0.01068	0.01076	0	0	0	4.06257	2.83331	0.96124	0.0261	0.01316	0.2797	0.13382	0	0	0	0	0.04066	0.0184	0.00341	0.35657	0.20382	0.70457	0.00299	0.0004	0.00455	0.04441	0.00569	0.07906	0	0	0	0	0	0	0.05983	0.04887	0.0321	0	0	0	0	0	0	0.26092	0.11537	0.276	2.51274	0.00134	0.02445	0.00281	0.00957	0.00809	0.01655	0.14145	0.04413	0.11457	0.18893	0.10595	0.00759
s__Enterocloster_citroniae	0	0	0.00231	0	0.00062	0.00354	0	0.00175	0.00108	0.01062	0.01418	0.01789	0.00872	0.00966	0.03403	0.01157	0.01371	0.01072	0	0	0	0.00075	0	0	0	0.00021	0	0	0	0	0.01453	0.02232	0	0.00507	0.01115	0.03202	0.01076	0.00143	0	0.00119	0	0.0106	0.00483	0.00223	0.00555	0.03073	0.02075	0.00088	0	0	0.00297	0.00469	0.00238	0.00216	0	0.00347	0	0	0.00222	0.01193	0.02697	0.00862	0	0	0	0	0.01044	0.00444	0.03068	0.011	0.01375	0.0115	0.00327	0.00154	0	0.00105	0.00578	0.0053	0	0	0.00334	0.00283	0.00428	0.01237
s__Rhodococcus_qingshengii	0	0	0.00114	0	0	0.00195	0	0	0	0	0	0.00115	0	0	0.00388	0.00126	0	0.00029	0.00382	0	0.00257	0	0	0	0	0	0	0	0	0	0.00013	0	0.00073	0.00296	0	0	0	0	0	0	0	0.00068	0	0.00188	0.00201	0.00306	0	0	0	0	0	0	0.00692	0	0	0	0	0	0	0	0	0	0	0	0.00203	0	0	0	0	0.0036	0	0	0.00597	0	0.00274	0.00146	0	0	0	0	0	0	0.00425	0
s__Limosilactobacillus_fermentum	0	0	0.00059	0	0	0	0	0	0	0	0	0	0.18016	0.02527	0.01058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02502	0.10351	0.01191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Clostridium_scindens	0	0	0.00027	0.0132	0	0.02078	0.00223	0	0.00326	0.12905	0.12993	0.14084	0.12626	0.03324	0.06445	0.00032	0.01349	0.03633	0.63344	0.38157	0.85261	0.00662	0.00354	0.00064	0	0	0	0.00299	0	0.11665	0	0	0	0	0	0.16346	0.05426	0	0	0	0.00242	0.00411	0.00261	0	0.25189	0.29257	0.43	0.00023	0	0	0.10524	0.04005	0.03453	0	0	0.00106	0	0	0	0.01944	0.08862	0.02519	0	0	0	0	0	0.00998	0	0	0	0	0	0	0	0	0.02115	0	0.00029	0.00897	0.00682	0.01054	0.09672	0.01591
s__Sellimonas_intestinalis	0	0	0.00012	0	0	0.31797	0.11623	0.03993	0.0217	0.1609	0.13195	0.09005	0.06239	0	0.00676	0.04012	0.16441	0.03222	0.14493	0.03819	0.05506	0	0	0	0	0	0	0	0	0	0.106	0.10025	0.20637	0	0	0	0	0	0	0	0	0.22227	0.79801	0.01692	0.3518	0.22681	0.32841	0	0	0	0.00191	0	0.06014	0	0	0	0	0	0	0.10542	0.44603	0.00301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03761	0	0	0	0.02793	0.01498
s__Ruminococcus_bromii	0	0	0	9.47915	0	6.45381	4.20326	3.35305	4.5335	0	0.02633	0	0	2.57664	6.92327	4.90787	1.81293	5.48183	0.04894	0	1.95608	5.0255	2.85555	2.25288	3.12736	8.64931	5.09735	2.01366	1.2727	0.04948	4.58452	4.85673	8.98782	5.02033	6.65127	0.27945	2.27979	0.09575	0.0036	0.07768	0	6.80254	6.73164	0.88271	0.25972	2.46141	4.22475	1.29092	2.99661	0.00057	9.47777	0	9.82524	1.58802	0.4722	2.12677	6.03975	9.79159	5.08116	1.69485	0.52203	0.85634	8.57086	4.55287	6.87356	3.56875	3.02346	7.08511	0	0	0	0	0	0	5.98008	3.88863	3.75206	9.32395	9.33015	0.00389	2.4463	12.23136	3.25049	2.06446
s__Akkermansia_muciniphila	0	0	0	6.07353	0.97852	0.23151	21.63935	1.82279	0	3.91534	1.49254	3.40842	0	0	0	0.22595	0.33854	1.33966	4.81382	5.86137	3.45121	5.38369	5.84596	3.41729	3.58427	6.02459	14.20289	0.85316	0.42206	2.15406	0.41597	0.08214	0.47368	0.25032	2.25233	0	0	0.67811	0.74857	0	0	0	0	0	0	0	0	0.57729	0.64977	0.06614	0.42543	0.00812	0.04895	0	0	0	0	0	0	0	0	0	0.0976	0.85599	0.17404	0.22899	0.77896	0.22623	0	0	0	0	1.37045	3.27433	0.05994	0.05968	0	2.36629	2.4073	26.4044	0	0	6.21735	4.92629
s__Holdemanella_porci	0	0	0	3.53256	4.74706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10302	0.41511	1.19159	0.85218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Clostridiaceae_bacterium_Marseille_Q4149	0	0	0	2.43459	0.32492	0.1269	0.06988	0.05106	0.37538	0	0	0	0	0	0	0	0	0	0.00787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00553	0.06404	0	0	0.14024	0.08555	0.02639	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10218	0.13377	0.20097	0	0	0	1.59466	6.62682	2.12774	0.01642	1.79353	0.40765	0	0	0	0	0	0	0.04446	0	0.47329	0.06773	0.44727	0	0	1.64281	0.47074	1.51071	2.90693	0	0
s__Oscillibacter_sp_ER4	0	0	0	2.32539	1.39068	0.55576	0.01404	0.04497	0.97783	0	0	0	0	0	0	0	0	0	0.0062	0	0	0.41974	0.60447	0.57438	0.95667	1.5312	0.98878	1.26638	1.21078	0.00076	0	0.00055	0	0.06815	0.13304	0	0	1.68353	1.05697	1.11241	1.37275	0	0	0	0	0	0	0.3283	0.69761	0.95176	0	0	0	0.4942	1.17073	0.30662	0.37729	0.66693	0.37108	0	0	0	0.22004	1.1254	0.72014	0.52403	0.60708	0.07302	0	0	0	0	0	0	0.731	0.12786	0.215	0.3177	0	0	2.80333	2.79288	0	0
s__GGB3277_SGB4327	0	0	0	2.22182	1.35039	0	0	0	0	0	0	0	0.8018	0.00812	0	1.92843	1.036	2.25405	0	0	0	0.28333	0	0.65232	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04525	0	0	0	0.84818	0.56361	1.08503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40152	2.94385	3.22197	0	0	0	0	0	0	0	0	0	0	0	0.04201	0.0403	0	0	0	0	0	0
s__Ruminococcus_callidus	0	0	0	2.17845	0	0	0.01349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3866	0.5199	2.1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81907	0	0.14904	0	0	0	0	0	0	0	1.36262	0.44318	0.85095	0.10789	2.40506	0	0	0	0	0	0	0	0	0	0.05007	0	1.53454	0	0	0	0	0	0	0
s__GGB9715_SGB15260	0	0	0	1.74833	0.20842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39199	0.15079	0.55652	0	0	0	0.14469	0.24234	0.00288	0	0	0	0	0	0	0	0.02754	0.01521	0.03686	0.11554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02112	0.03028	0.02624	0	0	0	0.02086	0.05387	0.03695	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64708	0.29462	0	0	0	0
s__Bifidobacterium_longum	0	0	0	1.68726	2.51089	0	0	0	0	1.60724	0.63453	1.95808	0.64204	0.88316	0.36382	2.43664	1.9735	0.73941	0	0	0	0.2101	2.411	1.46566	0	0	0	0	0	0	0.99296	1.43605	1.50355	0.23122	0.40819	0	0	0.92626	1.24341	0.56055	0.96519	0.05982	0.28673	0.53965	0.19829	4.53867	0.00847	1.39962	0.73999	1.5871	1.1173	1.03679	2.44369	0.01246	0.22435	0	0	0	0	0	0	0	1.83912	0.87743	0.84843	0	0	0	0	0	0	0	0	0.00371	1.00167	1.51569	0	0	2.05459	18.27672	0	0	0	0
s__Eubacterium_sp_AF34_35BH	0	0	0	1.26469	2.16333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087	0.00049	0.01027	0	0	0	0	0	0	0	0	0.06738	0.07593	0	0	0	0	0.25448	0.27171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04594	0.00553	0.08893	0.23658	0	0	0	0	0	0
s__Bacteroides_eggerthii	0	0	0	1.15093	5.17711	0	0.23368	2.76711	3.00435	0	0.02121	0	0	0	0	3.18916	2.29598	7.90338	0.32482	2.37544	0.18989	0	0	0	0	0	0	0.24272	0.28863	0.00527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18037	1.06036	2.26568	0	0	0	0	0	0	0	0	0.00349	0	0	0	0	0	0	0	0	0	0	0	6.09197	5.08792	0.00304	0	0	0	0	0
s__GGB9361_SGB14336	0	0	0	1.06975	2.3454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47679	0.10879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455	0.00126	0	0	0	0
s__Alistipes_shahii	0	0	0	0.79125	1.31288	0	0.07402	0.07193	0.18935	3.07066	1.11484	2.09293	2.37995	1.77027	2.23637	0.3011	0.81433	0.84223	0.00501	0	0	0.95524	1.43859	1.05026	0.06508	0.11701	0.05164	0.29184	1.27537	0.12519	0.03158	0.12454	0	0.00101	0.39046	3.0108	9.08996	0.34142	0.01996	0.05125	0.25056	0	0	0	0	0	0	0	0	0	0	0	0	0.4695	0.92217	1.44934	0	0	0	0.39536	0.32176	0.81699	0.01889	1.12038	0.45736	0.21635	0.61671	0.00183	0	0	0	0.54861	0.26661	0.51053	0.61984	0	0.32173	0.14736	0.27712	0.25339	0.14419	0.07483	0.13071	1.41711
s__Tyzzerella_SGB4587	0	0	0	0.63935	1.33108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05458	0	0.09297	2.39111	0	0	0	0.00074	0	0.02083	0	0	0	0	0	0.00184	0	0	0.00899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Barnesiella_intestinihominis	0	0	0	0.52085	0.60364	0	0.1233	0.27185	0.24754	0	0	0	0	0	0	0.05533	0.23687	0.35817	0.05632	0.86368	0.23589	0	0	0	0	0	0	1.0681	2.76673	1.06454	0	0	0	0.00036	0.06489	2.51829	3.34697	0.01178	0	0	0	0.58399	0.81639	2.14716	0	0	0	0.12767	0.28566	0.30668	0	0	0	0.39279	0.45458	0.65911	0	0	0	0	0.58316	4.18023	0.00115	0.81127	0.23443	0	0	0	0	0	0	2.22108	1.13639	1.06877	0	0	1.95149	0.89075	0.9899	0	0	0	0	0
s__Romboutsia_timonensis	0	0	0	0.50489	0.02478	0	0.20131	0	0	0	0	0.00295	0	0	0	0	0.00138	0	0.01701	0	0	0.03019	0.00048	0.03867	0	0	0.0856	0.00368	0.02328	0	0.00913	0.04716	0.06388	0.0617	0.00868	0.00938	0	0.00018	0.00223	0.00581	0.00399	0.00985	0	0.00038	0.20815	0	0.10543	0.04643	0.04258	0.07278	0.6383	0.22178	0.14569	0	0	0.00038	0.42574	0.27808	0.14511	0.11371	0.09772	0.01598	0.19974	0.1188	0.15729	0.15724	0.01768	0.46769	0.00452	0	0	0.01742	0.39341	0.17917	0.01094	0.02206	0.00752	0	0.01532	0	0.16517	0.00866	0.04818	0.00056
s__Parabacteroides_merdae	0	0	0	0.4828	0.84057	0.42883	0	0	0	1.59452	2.0662	1.9908	0	0	0	0	0	0.00475	0.04796	0.34798	0.21038	0.68113	1.12258	0.37021	0.03464	0.07529	0.08648	0.18718	0.28797	0.41179	2.18304	3.54221	0.05253	0.01291	0.31071	0	0	1.34191	0.16228	0.31437	0.22295	0	0	0	1.01446	0.74686	0.63903	0.10456	0.3429	0.37798	0	0	0.83746	0	0	0	0	0	0	0.55615	0.18086	0.7912	0.01866	0.85276	0.36398	0.54349	0.9266	0.00051	0	0	0	0	0	0	0.42565	0.33144	0	0	0.52732	0	0.10996	0.0377	0	0
s__Faecalibacillus_intestinalis	0	0	0	0.46069	0.33739	1.18535	0.02838	0.01072	0.03316	0.31195	0.53773	0.54219	0	0	0	0	0	0.00193	0.22798	0.37062	3.94193	0.82288	0.66894	1.75826	1.70262	0.86428	1.33086	0.62889	0.1488	0.94663	0	0	0	0	0	0.5484	0.08898	0.00484	0	0.00235	0.02238	0	0	0	0	0	0	0.28679	0.26304	0.27309	0	0	0	0.68757	0.76132	2.42481	0.3271	0.44051	0.35279	0	0	0	0.29941	0.31407	0.31739	3.16606	1.10856	5.86885	0	0	0	0	0	0	1.4027	0.64092	0.86955	0.25837	0	0	0.25356	0.13239	0	0
s__Clostridium_sp_AM49_4BH	0	0	0	0.43975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52214	0.28964	0.6973	2.70784	0.64313	1.10879	0.00803	0.5862	0	0.00225	0	0	0.00134	0	0	0	0.00158	0	0	0	0	0	0	0	0.00649	0.02621	0.62387	0.30373	0.02895	0	0	0	0	0	0	0.16293	0.15447	0.82108	0.01585	1.03525	0	0.25653	0.20941	0.49994	0.38622	0.15895	0.61986	0.77761	0.25865	0.06846	0	0	0	0	0	2.33622	0	0	0	0	0	0.46455	1.40701
s__Alistipes_onderdonkii	0	0	0	0.38539	0.07179	0	0.58877	2.74385	0.61483	0	0.0218	0	0	0	0	0.02659	0.29799	0.99318	0.24676	4.13048	0.60344	4.58711	1.76839	0.6418	0.15434	0.16677	0.0858	0.25808	0.56219	0.22774	0.85467	2.08321	0.02787	0.08976	0.09077	0	0	0.12609	0.05115	0.11077	2.02191	0	0	0	0.83216	3.05286	1.68168	0.77642	1.82485	4.44629	0	0	0	0.0189	0.01729	0.05396	0	0	0	6.10146	6.78788	10.07473	0	0.2427	0.05529	0.17745	0.57295	0	2.07437	2.26461	1.65065	0.0179	0.2107	0.84611	0.07069	0.02596	2.33534	0.89357	1.78864	0	0.15302	0.09039	0.98101	11.32087
s__Phascolarctobacterium_sp_ET69	0	0	0	0.36285	0.60627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12992	0.20685	0.25338	0	0	0	0	0	0	0	0	0	0	0.01087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02095	0.66921	0.17419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB9634_SGB15097	0	0	0	0.31862	0.00333	0	1.34322	1.77534	1.57212	0	0.01153	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974	0.05251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lentihominibacter_faecis	0	0	0	0.30978	0.12869	0	0.14905	0.06984	0.11783	0	0	0	0	0	0	0	0	0	0.28703	0.1882	0.31319	0.0959	0.03556	0.13756	0.21736	0.11447	0.07587	0.18942	0.1462	0.20278	0.04898	0.08684	0.28607	0.03231	0.04253	0	0	0.12192	0.21531	0.07699	0	0	0	0	0	0	0	0.15212	0.07095	0.30639	0	0	0	0.07114	0.07152	0.0782	0.04136	0.08063	0.3613	0.07575	0.27592	0.09061	0.05072	0.08733	0.0595	0.02693	0.09426	0.58536	0.19424	0.10635	0.22605	0	0	0	0	0	0.05107	0.04541	0.13384	0.01713	0.3273	0.8274	0.39788	0.09486
s__GGB9627_SGB15081	0	0	0	0.29654	0.3394	0	0.03225	0.22979	0.04689	0	0	0	0.75302	0.48036	0.42898	0	0	0	0	0	0	0	0	0	0	0	0	0.10949	0.06213	0.0303	0	0	0	0	0	0	0	0.18193	0.11005	0.28952	0.09925	0	0	0	0	0	0	0	0	0	0	0	0	0.01979	0.10997	0.04453	0	0	0	0	0	0	0.03614	0.12716	0.10103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42337	0.02763	0	0	0	0
s__Ruminococcus_torques	0	0	0	0.27477	0	0.32457	0.38001	0.36831	0.23824	2.38496	2.07109	2.88639	0.27155	0.05573	0.14438	1.99482	0.82717	3.99343	0.99831	0.14293	0.42401	0.4523	0.00224	0	1.70692	0.67077	0	0.00188	0.00138	0.13551	2.35859	2.76979	0.47192	0.20737	0.15933	0.68753	0.64125	0	0.00091	0.0027	0.00552	0.76663	2.7424	0.85136	1.80519	2.07557	2.65858	0.51797	0.48255	0.74808	0.1408	0.01183	0.0743	0.37262	0.34912	0.52639	0.27874	0.26709	0.22458	1.08434	1.55771	1.02808	0.0361	0.00504	0.25329	0.3708	0.25679	0.19729	2.37285	2.70169	1.41933	2.83317	0	0	0.22343	0.34532	0.30981	0	1.28411	0.19883	1.15372	0.93125	0	0
s__Oscillospiraceae_bacterium	0	0	0	0.26833	0.04168	0	0.1074	0.84696	0.79116	0	0	0	0	0.00293	0	0	0	0	0.0126	0	0.00215	0.00651	0.0478	0.38439	0.00506	0.00949	0.00152	2.02695	0.56755	1.53283	0	0	0	0	0.01627	2.97758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24363	0.47364	0.25573	0	0	0	0.01432	0.01412	0.01242	0	0	0	0	0.00289	0	0.02316	0	0.00789	0	0	0	0	0	0.01003	0.77951	0.20851	0.00372	0.94105	0.37542	0.66706	0.43438
s__Bacteroides_ovatus	0	0	0	0.26768	1.32372	1.70788	0.10086	0.16755	0.1012	0	0	0	0.92301	0.48479	1.55612	0.73228	1.06531	2.57166	0	0	0	0.08247	0.01085	0.08731	0	0	0	0.07707	0.37608	0.24972	0.82991	1.15953	0.00385	0.09993	0.16917	5.74958	14.26229	0.13221	0.01593	0.08003	0.09832	0.56173	0.08714	0.77128	0	0	0	0.34952	0.57363	3.34098	0.25699	2.79689	1.85194	0	0	0	0.25021	0.06326	0.01287	1.26218	0.03473	0.62077	0.01245	0.23697	0.12272	0	0	0	3.45181	1.3136	1.93299	0.17649	0.1546	1.31413	1.06844	0.43121	0	0	1.6064	0.71933	0.17046	0.0316	0.04093	0.12246
s__GGB4585_SGB6340	0	0	0	0.22093	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55123	1.22839	0.09784	0	0	0	0	0	0	0
s__GGB9760_SGB15373	0	0	0	0.21986	0.22123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04382	0.00458	0.03411	0	0	0	0.41912	0.09654	0.38944	0	0.34014	0.66923	0.07625	0.16489	0	0	0.38842	0.36037	0.19191	0.1957	0.31093	0.31578	0.47465	0.04372	0.12933	0.02881	0.51754	0.29768	0.45982	0	0	0	0.19371	0.18249	0.29435	0.26974	0.32079	0.35233	0	0.37182	0.40402	0.0726	0.1022	0.09517	0.1774	0.05473	0.12111	0	0	0	0.05439	0.03226	0.07768	0.10498	0	0.46362	0.14501	0	0	0.84391	1.04519	0	0
s__Oscillospiraceae_unclassified_SGB15256	0	0	0	0.21572	0.01757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49869	0.07688	0.42232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lachnospira_pectinoschiza	0	0	0	0.20904	0.80414	0	0.00223	0.5168	0.08924	0	0.00015	0	0.47914	0.21948	0.57631	0.12694	0.51643	0.27194	0.05318	0.22714	0.05605	0.05124	0.17771	0.27281	0.02342	0.12861	0.10834	0.07677	0.0436	0.73789	1.15182	0	0.0586	0.70766	1.54713	4.16286	2.88472	0.06002	0.05918	0.45641	0	0.00623	0	0.09615	0.13282	0.51731	1.35266	0.24091	0.61882	0.60799	0.71624	0.00224	0.12562	0.41959	0.81994	0.76852	0.72511	0.54715	0.16214	0.52326	0.7055	0.02432	0.01479	1.24611	1.35777	2.38505	2.00059	0.13385	3.52907	0.9163	0.73025	0.06391	0.26807	0.07825	0.14214	1.96033	0.02262	0	0	0	0.26606	0.11617	0	0
